,index,f1,f2,f3,f4,f5,f6,f7,f8,clear,y,tipo
70,70,374.0,504.0,593.0,758.0,960.0,1105.0,1117.0,1445.0,7633.0,1.0,0.0
380,380,343.0,436.0,570.0,658.0,858.0,871.0,984.0,1239.0,8855.0,1.0,2.0
456,456,265.0,341.0,414.0,530.0,602.0,644.0,726.0,805.0,4684.0,1.0,2.0
560,560,262.0,324.0,407.0,537.0,645.0,724.0,786.0,950.0,4355.0,1.0,3.0
293,293,431.0,543.0,699.0,960.0,1081.0,1276.0,1540.0,1820.0,8318.0,1.0,1.0
94,94,313.0,385.0,463.0,614.0,707.0,777.0,816.0,982.0,5413.0,1.0,0.0
616,616,246.0,310.0,385.0,508.0,619.0,671.0,734.0,871.0,3931.0,1.0,3.0
625,625,268.0,345.0,440.0,557.0,710.0,759.0,852.0,1065.0,4563.0,1.0,3.0
29,29,289.0,348.0,443.0,594.0,721.0,857.0,1003.0,1183.0,4795.0,1.0,0.0
460,460,237.0,297.0,387.0,500.0,598.0,674.0,800.0,919.0,3730.0,1.0,2.0
599,599,266.0,341.0,420.0,541.0,669.0,703.0,770.0,952.0,4569.0,1.0,3.0
348,348,365.0,505.0,588.0,782.0,850.0,1056.0,984.0,1381.0,7135.0,1.0,2.0
577,577,262.0,335.0,413.0,552.0,664.0,712.0,780.0,953.0,4525.0,1.0,3.0
307,307,418.0,528.0,686.0,942.0,1093.0,1246.0,1574.0,1781.0,8238.0,1.0,1.0
114,114,345.0,460.0,570.0,708.0,868.0,971.0,1100.0,1274.0,8747.0,1.0,0.0
314,314,436.0,534.0,706.0,896.0,1056.0,1220.0,1505.0,1820.0,7836.0,1.0,1.0
454,454,270.0,352.0,434.0,544.0,621.0,663.0,738.0,849.0,4753.0,1.0,2.0
571,571,254.0,309.0,375.0,486.0,613.0,671.0,694.0,848.0,4552.0,1.0,3.0
603,603,256.0,328.0,409.0,529.0,672.0,715.0,790.0,935.0,4568.0,1.0,3.0
441,441,343.0,502.0,641.0,798.0,910.0,927.0,1077.0,1178.0,6892.0,1.0,2.0
487,487,262.0,342.0,428.0,568.0,677.0,748.0,833.0,993.0,4538.0,1.0,2.0
580,580,257.0,330.0,410.0,536.0,647.0,708.0,764.0,933.0,4112.0,1.0,3.0
418,418,267.0,379.0,478.0,592.0,677.0,730.0,874.0,1185.0,5850.0,1.0,2.0
269,269,427.0,567.0,743.0,907.0,1116.0,1216.0,1552.0,1961.0,8097.0,1.0,1.0
266,266,472.0,583.0,778.0,1008.0,1148.0,1359.0,1605.0,2141.0,8570.0,1.0,1.0
106,106,333.0,456.0,555.0,714.0,857.0,897.0,1077.0,1341.0,7296.0,1.0,0.0
405,405,291.0,390.0,482.0,606.0,732.0,738.0,833.0,1017.0,5666.0,1.0,2.0
331,331,409.0,551.0,660.0,839.0,972.0,1091.0,1120.0,1522.0,8533.0,1.0,2.0
6,6,335.0,454.0,584.0,775.0,1030.0,961.0,1375.0,1502.0,7846.0,1.0,0.0
557,557,265.0,342.0,433.0,561.0,695.0,734.0,831.0,1020.0,4696.0,1.0,3.0
11,11,324.0,429.0,572.0,748.0,953.0,1074.0,1317.0,1582.0,7045.0,1.0,0.0
323,323,435.0,537.0,711.0,881.0,1022.0,1196.0,1472.0,1822.0,7954.0,1.0,1.0
96,96,341.0,439.0,536.0,698.0,782.0,842.0,881.0,1045.0,5073.0,1.0,0.0
353,353,406.0,557.0,688.0,807.0,946.0,1031.0,1089.0,1393.0,7953.0,1.0,2.0
111,111,374.0,536.0,643.0,804.0,969.0,1174.0,1214.0,1401.0,9443.0,1.0,0.0
615,615,249.0,317.0,392.0,517.0,626.0,688.0,741.0,896.0,3947.0,1.0,3.0
574,574,245.0,296.0,358.0,463.0,555.0,614.0,648.0,785.0,3704.0,1.0,3.0
384,384,299.0,394.0,479.0,622.0,718.0,764.0,809.0,1013.0,5392.0,1.0,2.0
60,60,368.0,512.0,576.0,850.0,885.0,1123.0,1183.0,1500.0,7802.0,1.0,0.0
515,515,228.0,280.0,369.0,474.0,563.0,638.0,733.0,854.0,3474.0,1.0,2.0
81,81,339.0,426.0,503.0,676.0,816.0,859.0,910.0,1057.0,6059.0,1.0,0.0
396,396,258.0,336.0,423.0,537.0,639.0,677.0,753.0,913.0,5117.0,1.0,2.0
550,550,254.0,347.0,437.0,554.0,669.0,705.0,837.0,1001.0,4278.0,1.0,3.0
373,373,412.0,553.0,666.0,836.0,973.0,1075.0,1177.0,1464.0,8054.0,1.0,2.0
105,105,347.0,532.0,579.0,811.0,932.0,1215.0,1290.0,1696.0,7310.0,1.0,0.0
379,379,325.0,486.0,574.0,738.0,808.0,933.0,1005.0,1439.0,6958.0,1.0,2.0
302,302,429.0,529.0,695.0,910.0,1065.0,1232.0,1527.0,1828.0,7753.0,1.0,1.0
558,558,269.0,345.0,426.0,565.0,682.0,761.0,822.0,1028.0,4810.0,1.0,3.0
371,371,426.0,567.0,761.0,823.0,1009.0,1150.0,1179.0,1528.0,9124.0,1.0,2.0
429,429,314.0,439.0,550.0,706.0,842.0,873.0,1003.0,1236.0,6782.0,1.0,2.0
442,442,347.0,432.0,531.0,702.0,795.0,852.0,884.0,1093.0,6103.0,1.0,2.0
528,528,243.0,302.0,393.0,511.0,630.0,678.0,790.0,937.0,3988.0,1.0,2.0
