Function,Sample num,F1 (410nm),F2 (440nm),F3 (470nm),F4 (510nm),F5 (550nm),F6 (583nm),F7 (620nm),F8 (670nm),CLEAR,SAIDA
Raw data,106,290,390,492,643,704,798,892,1057,5487,1
Raw data,107,286,388,495,672,824,816,1083,1134,5783,1
Raw data,108,267,419,574,692,754,823,992,973,5448,1
Raw data,109,299,405,493,628,717,778,908,1001,5077,1
Raw data,110,313,422,546,635,710,776,853,980,4646,1
Raw data,111,255,334,422,552,735,735,927,927,5415,1
Raw data,112,266,395,542,658,805,822,1021,1021,5374,1
Raw data,113,256,339,433,553,643,670,798,898,4627,1
Raw data,114,253,330,416,543,627,674,811,893,4417,1
Raw data,115,271,389,517,646,776,814,1007,1027,6032,1
Raw data,116,261,371,502,637,749,740,1033,943,6434,1
Raw data,117,343,502,641,798,910,927,1077,1178,6892,1
Raw data,118,347,432,531,702,795,852,884,1093,6103,1
Raw data,119,319,398,483,626,744,791,828,1010,5794,1
Raw data,120,315,419,516,651,772,794,864,1062,5895,1
Raw data,121,318,444,569,716,1014,855,1194,1081,8192,1
Raw data,122,285,364,446,554,638,710,746,900,5080,1
Raw data,123,303,395,481,598,711,745,803,970,5445,1
Raw data,124,283,367,453,563,678,705,793,939,4822,1
Raw data,125,283,374,460,581,688,718,813,973,4885,1
Raw data,126,277,368,453,569,660,689,774,916,4807,1
Raw data,127,274,362,447,561,659,686,776,912,4810,1
Raw data,128,278,367,451,564,657,688,773,909,4791,1
Raw data,129,270,357,435,551,632,670,745,871,4670,1
Raw data,130,270,352,434,544,621,663,738,849,4753,1
Raw data,131,267,347,423,536,614,648,735,813,4761,1
Raw data,132,265,341,414,530,602,644,726,805,4684,1
Raw data,133,272,343,421,533,614,663,736,826,4684,1
Raw data,134,268,345,415,543,606,662,739,828,4673,1
Raw data,135,268,345,425,542,620,672,746,852,4664,1
Raw data,136,237,297,387,500,598,674,800,919,3730,1
Raw data,137,243,302,398,512,609,685,815,938,3662,1
Raw data,138,241,302,397,511,610,689,817,945,3756,1
Raw data,139,246,307,405,518,619,694,835,967,3802,1
Raw data,140,246,310,409,524,625,711,839,977,3788,1
Raw data,141,246,310,407,525,628,708,842,986,3852,1
Raw data,142,244,313,407,532,631,714,840,998,3878,1
Raw data,143,244,314,408,535,631,713,841,998,3899,1
Raw data,144,239,311,405,527,630,698,833,985,3914,1
Raw data,145,243,311,404,527,622,712,831,990,3817,1
Raw data,146,242,312,406,529,622,709,830,983,3738,1
Raw data,147,241,311,405,527,623,711,832,986,3756,1
Raw data,148,240,311,405,528,630,702,842,990,3854,1
Raw data,149,240,313,406,536,630,710,845,990,3764,1
Raw data,150,239,311,406,529,627,700,839,988,3873,1
Raw data,151,241,314,409,533,633,709,853,998,3847,1
Raw data,152,241,315,410,537,635,722,857,1011,3798,1
Raw data,153,245,311,412,526,625,715,843,977,3677,1
Raw data,154,227,283,372,472,552,613,712,827,3398,1
Raw data,155,210,263,343,433,532,579,672,769,3567,1
Raw data,156,223,271,357,445,553,599,696,804,3566,1
Raw data,157,227,279,365,462,559,636,708,854,3811,1
Raw data,158,221,271,356,445,535,592,670,801,3360,1
Raw data,159,216,266,345,435,533,579,666,775,3449,1
Raw data,160,249,365,461,533,762,739,839,1108,4678,1
Raw data,161,264,337,423,551,674,728,795,969,4457,1
Raw data,162,251,322,400,525,659,699,772,915,4312,1
Raw data,163,262,342,428,568,677,748,833,993,4538,1
Raw data,164,240,298,393,493,600,651,748,872,4035,1
Raw data,165,221,276,357,452,545,594,678,796,3513,1
Raw data,166,218,268,345,438,535,596,672,803,3598,1
Raw data,167,239,290,389,490,610,685,779,918,4067,1
Raw data,168,234,292,385,484,586,645,753,893,3618,1
Raw data,169,226,292,372,473,583,641,737,909,3644,1
Raw data,170,233,295,379,491,588,650,748,904,3702,1
Raw data,171,229,290,367,478,567,630,702,886,3713,1
Raw data,172,229,287,359,471,554,620,681,855,3769,1
Raw data,173,235,287,377,481,584,641,733,862,3924,1
Raw data,174,259,331,420,545,655,725,795,968,4202,1
Raw data,175,252,312,395,515,650,718,785,946,4440,1
Raw data,176,239,299,387,498,588,637,739,857,3935,1
Raw data,177,220,279,359,457,583,623,734,844,4211,1
Raw data,178,238,301,387,503,589,653,744,866,3878,1
Raw data,179,221,275,358,454,542,594,700,784,3570,1
Raw data,180,228,281,372,475,589,648,741,881,3714,1
Raw data,181,233,296,383,500,598,660,767,913,3631,1
Raw data,182,233,298,386,493,589,664,763,937,3462,1
Raw data,183,227,283,371,478,590,667,771,896,4177,1
Raw data,184,258,327,409,537,648,718,786,944,4146,1
Raw data,185,254,323,404,531,663,712,799,931,4292,1
Raw data,186,252,314,399,523,634,701,775,898,4182,1
Raw data,187,251,308,393,522,614,688,783,915,3756,1
Raw data,188,244,301,392,524,590,668,790,884,3857,1
Raw data,189,213,262,343,434,526,583,682,770,3360,1
Raw data,190,228,283,375,479,585,650,750,889,3667,1
Raw data,191,228,280,369,474,563,638,733,854,3474,1
Raw data,192,220,266,359,447,545,613,717,819,3382,1
Raw data,193,225,284,367,476,564,629,757,867,3483,1
Raw data,194,242,299,395,506,596,686,800,928,3734,1
Raw data,195,239,296,391,496,594,661,778,900,3904,1
Raw data,196,245,313,405,522,648,710,826,952,4397,1
Raw data,197,258,331,414,553,661,734,826,992,4554,1
Raw data,198,252,327,407,537,651,701,794,932,4095,1
Raw data,199,241,311,387,516,639,698,770,917,4066,1
Raw data,200,244,310,402,515,610,676,795,927,3691,1
Raw data,201,225,289,372,471,576,642,746,914,3433,1
Raw data,202,241,313,408,519,633,723,809,1044,3973,1
Raw data,203,244,307,393,522,618,699,782,966,3963,1
Raw data,204,243,302,393,511,630,678,790,937,3988,1
Raw data,205,236,300,382,502,599,673,739,932,3708,1
Raw data,206,214,267,340,438,530,576,666,785,3516,1
Raw data,207,218,268,353,433,536,595,678,808,3460,1
Raw data,208,219,279,355,461,556,618,714,822,3681,1
Raw data,209,224,284,369,474,579,629,744,845,3892,1
Raw data,210,226,282,365,468,556,631,716,845,3656,1
Raw data,211,228,284,366,471,562,641,721,858,3671,1
Raw data,212,225,284,363,471,560,638,719,853,3623,1
Raw data,213,225,276,368,456,569,619,738,830,3520,1
Raw data,214,223,280,365,462,559,618,724,834,3553,1
Raw data,215,222,280,362,459,559,618,711,843,3534,1
Raw data,216,224,279,368,460,566,615,734,832,3515,1
Raw data,217,226,283,369,464,574,626,744,854,3547,1
Raw data,218,224,286,367,468,565,636,719,876,3555,1
Raw data,219,225,281,371,463,566,631,724,866,3562,1
Raw data,220,226,284,373,468,571,634,729,874,3589,1
Raw data,221,228,285,376,468,578,630,741,866,3585,1
Raw data,222,230,285,378,467,580,633,743,876,3604,1
